SchoolID,SchoolName,LowestGrade,HighestGrade,Address,City,State,Zip5,County,Phone,SchoolDays,HoursInSchoolDay,HasLibrary,PreSchoolEnrollment,KindergartenEnrollment,Grade1Enrollment,Grade2Enrollment,Grade3Enrollment,Grade4Enrollment,Grade5Enrollment,Grade6Enrollment,Grade7Enrollment,Grade8Enrollment,Grade9Enrollment,Grade10Enrollment,Grade11Enrollment,Grade12Enrollment,TotalEnrollment,FullTimeTeacherCount,StudentTeacherRatio
BB161037,CHICAGO WALDORF SCHOOL,2,17,1300 W LOYOLA AVE,CHICAGO,IL,60626,COOK,7733811327,168,6.16,Yes,69,25,18,22,18,23,16,25,26,26,20,22,27,25,362,44.1,6.64
01601736,CHILDREN OF PEACE SCHOOL,2,13,1900 W TAYLOR ST 1,CHICAGO,IL,60612,COOK,3122438186,178,7,No,17,4,7,10,7,12,13,13,14,8,,,,,163,16.1,9.06
BB060715,CHILDREN'S SCHOOL OF OAK PARK,3,13,1428 WESLEY AVE,BERWYN,IL,60402,COOK,7084848033,169,6.5,Yes,,12,14,10,10,9,13,12,9,12,,,,,101,16,6.31
BB080916,CHILDREN'S WORLD DAYCARE CENTER,2,3,5911 N LINCOLN AVE,CHICAGO,IL,60659,COOK,7733344010,260,7.25,Yes,7,5,,,,,,,,,,,,,12,1,5
BB120629,CHILDRENS CHRISTIAN LEARNING CENTER,2,3,1900 NERGE RD,ELK GROVE VILLAGE,IL,60007,COOK,8473521968,188,4.5,No,45,6,,,,,,,,,,,,,51,11.5,0.52
K9302064,"CHILDRENS HOUSE MONTESSORI SCHOOL,INC.",1,1,417 W MAIN ST,WEST DUNDEE,IL,60118,KANE,8474263570,161,6.25,No,,,,,,,,,,,,,,,26,3,8.66
A0501525,CHILDRENS LEARNING PATH MONTESSORI,2,3,1133 PFINGSTEN RD,NORTHBROOK,IL,60062,COOK,8474981533,180,6.5,No,14,3,,,,,,,,,,,,,17,2.9,1.03
A1701466,CHILDRENS LEARNING WORLD,2,7,8101 W GOLF RD,NILES,IL,60714,COOK,8474700370,186,6,Yes,36,4,2,1,,,,,,,,,,,43,2,3.5
A1370672,CHILDRENS PALACE,3,11,3237 W BRYN MAWR AVE,CHICAGO,IL,60659,COOK,7735885575,260,,No,,3,4,5,8,5,5,1,,,,,,,31,4,7.75
BB080646,CHILREN'S HABILITATION CENTER,1,1,121 W 154TH ST,HARVEY,IL,60426,COOK,7085962220,240,5,No,,,,,,,,,,,,,,,32,4.9,6.53
A9701382,CHRIST LUTHERAN HIGH SCHOOL,14,17,PO BOX 8,BUCKLEY,IL,60918,IROQUOIS,2173942547,176,5.7,Yes,,,,,,,,,,,2,2,,3,7,3.5,2
A9102361,CHRIST LUTHERAN SCHOOL,2,13,2000 18TH AVE,STERLING,IL,61081,WHITESIDE,8156253800,175,6.75,Yes,16,13,18,11,9,5,7,5,6,13,,,,,103,9,9.66
00350317,CHRIST LUTHERAN SCHOOL,8,13,146 W JACOB RD,JACOB,IL,62950,JACKSON,6187634664,167,5.75,Yes,,,,,2,6,6,2,1,1,,,,,18,2.3,7.82
00350634,CHRIST LUTHERAN SCHOOL,2,13,1311 S FARADAY AVE,PEORIA,IL,61605,PEORIA,3096371512,176,7,Yes,20,20,20,12,12,16,24,22,20,21,,,,,187,9.8,17.04
A0501535,CHRIST OUR ROCK LUTHERAN HIGH SCHOOL,14,17,9545 SHATTUC RD,CENTRALIA,IL,62801,CLINTON,6182263315,176,7.16,Yes,,,,,,,,,,,32,32,27,31,122,8.5,14.35
BB060747,CHRIST OUR SAVIOR CATHOLIC SCHOOL,2,13,900 E 154TH ST,SOUTH HOLLAND,IL,60473,COOK,7083338173,180,7,No,18,15,22,15,15,29,15,18,16,21,,,,,184,9,18.44
A9901751,CHRIST OUR SAVIOR LUTHERAN HIGH SCHOOL,14,17,810 SOLDIERS WAY,EVANSVILLE,IL,62242,RANDOLPH,6188537300,165,7.08,Yes,,,,,,,,,,,7,6,3,9,25,3.6,6.94
00349094,CHRIST THE KING ELEMENTARY SCHOOL,2,13,1920 BARBERRY DR,SPRINGFIELD,IL,62704,SANGAMON,2175462159,176,7.16,Yes,81,36,31,34,36,20,31,23,28,40,,,,,360,23.3,11.97
00344813,CHRIST THE KING ELEMENTARY SCHOOL,2,13,9240 S HOYNE AVE,CHICAGO,IL,60643,COOK,7737793329,176,6.75,Yes,50,34,38,42,42,35,40,38,40,40,,,,,399,24,14.54
00350099,CHRIST THE KING LUTHERAN SCHOOL,2,13,3701 S LAKE PARK AVE,CHICAGO,IL,60653,COOK,7735361984,215,7.5,No,1,1,4,3,7,5,,2,2,2,,,,,27,4.3,6.04
A1370673,CHRISTIAN CORNER CHILDREN'S CENTER,2,3,1600 W SCHAUMBURG RD,SCHAUMBURG,IL,60194,COOK,8478829034,250,6.25,No,20,3,,,,,,,,,,,,,23,6,0.5
AA890301,CHRISTIAN FELLOWSHIP SCHOOL,2,17,PO BOX 227,DU QUOIN,IL,62832,PERRY,6185426800,177,7,Yes,20,8,4,2,4,5,3,3,4,7,5,2,3,5,75,6.5,8.46
AA000603,CHRISTIAN HERITAGE ACADEMY,2,17,315 WAUKEGAN RD,NORTHFIELD,IL,60093,COOK,8474465252,172,7.45,Yes,55,26,22,17,22,29,21,21,33,27,9,14,22,9,327,28.8,9.44
A9102367,CHRISTIAN LIFE ACADEMY,2,17,133 S HIGHLAND ST,CREVE COEUR,IL,61610,TAZEWELL,3096982273,180,6.5,Yes,1,1,,1,1,1,,,,,,,1,1,7,2,3
A1100979,CHRISTIAN LIFE ACADEMY,2,15,PO BOX 235,HOPEDALE,IL,61747,TAZEWELL,3094493346,166,7,Yes,13,12,6,1,12,7,9,11,13,13,3,1,,,101,8.3,10.6
BB161026,CHRISTIAN S T E M SCHOLARS,2,13,9406 S PERRY AVE,CHICAGO,IL,60620,COOK,7734681030,183,6.75,Yes,6,3,4,8,6,3,1,1,3,1,,,,,36,7.4,4.05
BB181033,CHURCH OF GOD OF CHICAGO,3,13,4601 S DREXEL,CHICAGO,IL,60653,COOK,7737525644,176,7,No,,5,4,3,3,2,2,,3,2,,,,,24,4,6
A1701470,CITY ELEMENTARY,1,1,1100 E HYDE PARK BLVD,CHICAGO,IL,60615,COOK,8722402489,180,7,No,,,,,,,,,,,,,,,17,3,5.66
A0700829,CLARE WOODS ACADEMY,3,17,125 E SEMINARY AVE,WHEATON,IL,60187,DUPAGE,6302894221,200,6,No,,2,2,1,6,1,2,2,6,5,7,6,5,22,75,13,5.76
A0700830,COLLEGE PREPARATORY SCHOOL OF AMERICA,2,17,331 W MADISON ST,LOMBARD,IL,60148,DUPAGE,6308898000,186,7.33,Yes,13,24,24,24,25,29,28,35,35,40,42,38,29,29,415,29.3,13.72
A0103062,COMMUNITY ALTERNATIVE RENEWAL EXPERIENCE,10,17,215 N MILWAUKEE AVE,LAKE VILLA,IL,60046,LAKE,8472456584,185,5,Yes,,,,,,,1,,2,2,2,2,2,2,13,2,6.5
A1701472,COMMUNITY CHRISTIAN ACADEMY,2,14,901 PROSPERITY AVE,JOHNSTON CITY,IL,62951,WILLIAMSON,6189833841,200,7,Yes,19,8,3,2,,,1,,,3,2,,,,38,3.6,5.27
BB140473,COMMUNITY LEARNING CENTER,3,3,10612 S WENTWORTH AVE,CHICAGO,IL,60628,COOK,7739284104,,,No,,9,,,,,,,,,,,,,9,1,9
00351671,CONCORD LUTHERAN SCHOOL,2,13,865 S CHURCH RD,BENSENVILLE,IL,60106,DUPAGE,6307660228,176,6.5,No,32,12,6,5,6,5,6,4,3,6,,,,,85,5.3,10
00351332,CONCORDIA LUTHERAN SCHOOL,3,13,2000 W GLEN AVE,PEORIA,IL,61614,PEORIA,3096918921,176,7,Yes,,21,20,24,18,17,16,22,14,14,,,,,166,14.1,11.77
00351999,CONCORDIA LUTHERAN SCHOOL,2,12,2300 E WILSHIRE RD,SPRINGFIELD,IL,62703,SANGAMON,2175293307,178,6.75,Yes,17,2,3,1,3,,1,1,6,,,,,,34,2.3,7.39
00350135,CONCORDIA LUTHERAN SCHOOL,2,10,7424 N 2ND ST,MACHESNEY PARK,IL,61115,WINNEBAGO,8156336450,177,6.66,Yes,50,15,13,5,11,5,8,,,,,,,,107,4.5,12.66
A9706209,CONDELL DAY CENTER,2,3,700 GARFIELD AVE,LIBERTYVILLE,IL,60048,LAKE,8479905800,180,7,No,22,1,,,,,,,,,,,,,23,1,1
A0103070,COORDINATED YOUTH & HUMAN SERVICES,8,17,2016 MADISON AVE,GRANITE CITY,IL,62040,MADISON,6184510552,179,5,No,,,,,1,2,2,8,5,5,17,16,12,7,75,8.9,8.42
BB020958,CORNERSTONE ACADEMY,15,17,1111 N WELLS ST STE 403 FL 4,CHICAGO,IL,60610,COOK,3125738854,176,6.5,No,,,,,,,,,,,,3,3,13,19,4,4.75
02024256,CORNERSTONE CHRISTIAN ACADEMY,2,17,355 N CROSS ST,SYCAMORE,IL,60178,DEKALB,8158958522,185,7,Yes,98,27,16,17,16,11,14,13,13,14,12,11,9,18,289,35.6,5.36
A0700831,CORNERSTONE CHRISTIAN ACADEMY OF MCLEAN COUNTY,2,17,PO BOX 1608,BLOOMINGTON,IL,61702,MCLEAN,3096629900,180,5.75,Yes,47,25,23,24,21,18,39,33,45,22,30,24,25,28,404,39.8,8.96
BB020941,CORNERSTONE CHRISTIAN SCHOOL,2,13,PO BOX 9,CHICAGO HEIGHTS,IL,60412,COOK,7087563566,176,7,Yes,46,13,11,11,21,2,16,7,8,8,,,,,143,8.6,11.27
00346876,CORPUS CHRISTI CATHOLIC SCHOOL,2,13,1909 E LINCOLN ST,BLOOMINGTON,IL,61701,MCLEAN,3096623712,174,7.25,Yes,120,48,40,44,40,32,38,43,42,39,,,,,486,41.6,8.79
BB161085,CORPUS CHRISTY CATHOLIC SCHOOL,2,13,1909 E LINCOLN ST,BLOOMINGTON,IL,61701,MCLEAN,3096623712,180,7,Yes,100,50,40,45,40,30,40,40,40,40,,,,,465,23.9,15.27
A1100981,COSMIC MONTESSORI COMMUNITY,2,10,4100 WESTBROOK DR,AURORA,IL,60504,DUPAGE,6305858881,,7,No,40,18,8,13,9,1,2,,,,,,,,91,13,3.92
A9102377,COUNCIL OAK MONTESSORI SCHOOL,2,13,2521 GROVE ST,BLUE ISLAND,IL,60406,COOK,7089269720,164,7.5,Yes,11,5,6,3,4,2,4,3,3,2,,,,,43,6,5.33
A9102378,COUNTRY MEADOWS MONTESSORI SCHOOL,2,13,6151 WASHINGTON ST,GURNEE,IL,60031,LAKE,8472449352,183,6.5,Yes,56,14,11,8,7,10,9,4,6,6,,,,,131,9,8.33
00351966,COUNTRYSIDE MONTESSORI SCHOOL,2,13,1985 PFINGSTEN RD,NORTHBROOK,IL,60062,COOK,8474981105,,6.5,No,73,24,6,13,11,8,9,9,9,5,,,,,167,13.8,6.81
A0901424,COUNTRYSIDE PRIVATE SCHOOL INC,3,17,PO BOX 72,EUREKA,IL,61530,WOODFORD,3094673535,160,7.5,Yes,,15,11,10,16,11,12,12,12,10,3,10,6,4,132,11,12
A9303035,COUNTRYSIDE SCHOOL,3,13,4301 W KIRBY AVE,CHAMPAIGN,IL,61822,CHAMPAIGN,2173551253,176,6.75,No,,15,15,16,13,15,16,19,21,13,,,,,143,13.8,10.36
A1100982,COVENANT CLASSICAL SCHOOL,3,17,1852 95TH ST,NAPERVILLE,IL,60564,WILL,6309837500,175,6.75,No,,14,17,14,15,16,14,13,16,10,,1,4,1,135,15,9
A1370676,CREATIVE CHILDRENS LEARNING CTR.,2,11,1270 W MARKET ST,RED BUD,IL,62278,RANDOLPH,6182348707,260,,Yes,88,13,8,4,4,4,3,1,,,,,,,125,12.4,2.98
A9501625,CREATIVE LEARNING MONTESSORI SCHOOL,1,1,1410 S BARRINGTON RD,BARRINGTON,IL,60010,COOK,8473822812,176,6.5,No,,,,,,,,,,,,,,,27,3.5,7.71
K9302077,CREATIVE MONTESSORI LEARNING CENTER,2,3,550 S EDGEWOOD AVE,LOMBARD,IL,60148,DUPAGE,6306625505,180,4.5,No,10,6,,,,,,,,,,,,,16,2,3
AA000366,CREATIVE WORLD MONTESSORI SCHOOL,2,3,1200 W GOODMAN AVE,LA GRANGE,IL,60525,COOK,7083545255,186,8,No,78,17,,,,,,,,,,,,,95,10.1,1.68
A1501558,CREME DE LA CREME - WESTMONT,2,4,501 OAKMONT LN,WESTMONT,IL,60559,DUPAGE,6304559510,180,7,No,30,22,,,,,,,,,,,,,52,1,22
A0507531,CREME DE LA CREME GLENVIEW,2,3,2401 PATRIOT BLVD,GLENVIEW,IL,60026,COOK,8477297420,254,7,Yes,122,30,,,,,,,,,,,,,152,23.9,1.25
A9701396,CREST HILL CHRISTIAN SCHOOL,2,13,21514 W DIVISION ST,LOCKPORT,IL,60441,WILL,8157300664,182,7.5,Yes,4,4,1,,1,1,1,3,,1,,,,,16,3,4
A9701385,CRISTO REY JESUIT HIGH SCHOOL,14,17,1852 W 22ND PL,CHICAGO,IL,60608,COOK,7738906800,184,7.5,Yes,,,,,,,,,,,170,155,135,110,570,32.6,17.48
00349913,CROSS EVANGELICAL LUTHERAN SCHOOL,2,13,8535 STATE ROUTE 47,YORKVILLE,IL,60560,KENDALL,6305537861,175,7,Yes,80,32,21,31,19,21,29,21,12,21,,,,,287,11.3,18.31
AA890303,CRYSTAL LAKE MONTESSORI SCHOOL,2,13,3013 S COUNTRY CLUB RD,WOODSTOCK,IL,60098,MCHENRY,8153380013,170,7.5,Yes,82,17,11,14,13,12,11,10,5,8,,,,,183,19,5.31
A1100984,CS ACADEMY,2,17,6014 S RACINE AVE,CHICAGO,IL,60636,COOK,7737780818,208,5.25,Yes,21,25,8,7,5,4,5,3,3,5,1,3,2,10,102,11.3,7.16
A0301411,DA VINCI WALDORF SCHOOL,2,13,150 W BONNER RD,WAUCONDA,IL,60084,LAKE,8475260648,163,7,No,30,17,11,7,5,10,9,6,4,1,,,,,100,10.9,6.42
A9501628,DANVILLE CHRISTIAN ACADEMY,2,17,428 N WALNUT ST,DANVILLE,IL,61832,VERMILION,2174421579,179,7,Yes,20,5,,2,1,1,5,3,2,5,3,,2,2,51,3.8,8.15
A9701386,DAYSTAR SCHOOL,2,13,1550 S STATE ST,CHICAGO,IL,60605,COOK,3127910001,180,7,Yes,72,47,34,30,31,22,23,26,18,19,,,,,322,22,11.36
BB060754,DBA CITY GARDEN WALDORF SCHOOL,2,3,920 W 19TH ST,CHICAGO,IL,60608,COOK,3124213050,176,4,No,75,25,,,,,,,,,,,,,100,8.6,2.9
A1701483,DCN CHRISTIAN ACADEMY.,2,13,3205 S AUSTIN BLVD,CICERO,IL,60804,COOK,7082221909,185,7,No,11,6,2,6,4,2,2,,,1,,,,,34,3,7.66
00344926,DE LA SALLE INSTITUTE - INSTITUTE CAMPUS,14,17,3434 S MICHIGAN AVE,CHICAGO,IL,60616,COOK,3128427355,178,6.66,Yes,,,,,,,,,,,248,223,217,217,905,64,14.14
A9706212,DEARHAVEN CHILDCARE & LEARNING CENTER,2,3,1100 N WESTMORELAND RD,LAKE FOREST,IL,60045,LAKE,8475356175,210,6.5,No,35,2,,,,,,,,,,,,,37,2.6,0.76
A9501629,DEER CREEK CHRISTIAN SCHOOL,2,13,330 W HIGHLAND DR,UNIVERSITY PARK,IL,60484,COOK,7086726200,176,7.5,No,29,18,10,8,15,7,10,6,12,10,,,,,125,18.3,5.24
00342907,DEPAUL COLLEGE PREP,14,17,3633 N CALIFORNIA AVE,CHICAGO,IL,60618,COOK,7735393600,183,6.5,Yes,,,,,,,,,,,135,105,111,83,434,49,8.85
A0501537,DIAMANTE MONTESSORI SCHOOL,2,4,625 HILLSIDE AVE,GLEN ELLYN,IL,60137,DUPAGE,6307909030,158,5.75,No,56,16,,,,,,,,,,,,,72,2.4,6.66
A0700836,DISCOVER MONTESSORI - LEARNING CENTER,2,4,2332 SIMSBURY CT,NAPERVILLE,IL,60564,WILL,6309047877,,7.5,Yes,9,8,,,,,,,,,,,,,17,2.5,3.2
00341142,DIVINE INFANT JESUS SCHOOL,2,13,1640 NEWCASTLE AVE,WESTCHESTER,IL,60154,COOK,7088650122,180,7,Yes,23,25,11,9,16,12,15,25,23,22,,,,,181,10.9,14.49
00341153,DIVINE PROVIDENCE SCHOOL,2,13,2500 MAYFAIR AVE,WESTCHESTER,IL,60154,COOK,7085622258,180,7,Yes,43,20,23,20,20,24,22,14,23,18,,,,,227,12.5,14.72
AA000420,DOWNERS GROVE ADVENTIST SCHOOL,2,13,5524 LEE AVE,DOWNERS GROVE,IL,60515,DUPAGE,6309688848,180,7,Yes,3,2,1,,3,4,4,4,6,1,,,,,28,4,6.25
01932994,DOWNERS GROVE CHRISTIAN SCHOOL,3,13,929 MAPLE AVE,DOWNERS GROVE,IL,60515,DUPAGE,6308520832,170,6.5,Yes,,13,7,15,10,12,11,10,10,14,,,,,102,15,6.8
AA890305,DUPAGE MONTESSORI SCHOOL,2,13,1111 E WARRENVILLE RD,NAPERVILLE,IL,60653,DUPAGE,6303696899,183,6.75,Yes,155,33,14,15,12,8,10,7,5,1,,,,,260,9.6,10.93
A9501667,DUPAGE MONTESSORI SCHOOL - WHEATON,2,3,300 E COLE AVE,WHEATON,IL,60187,DUPAGE,6306531221,180,6.25,No,65,9,,,,,,,,,,,,,74,2.9,3.1
A1790232,DWIGHT BAPTIST ACADEMY,6,17,401 N CLINTON ST,DWIGHT,IL,60420,LIVINGSTON,8155843182,144,7.41,Yes,,,1,,,,2,,4,1,1,2,2,1,14,2.3,6.08
A1701490,EAGLE ACADEMY CHRISTIAN SCHOOL,2,11,PO BOX 2151,CALUMET CITY,IL,60409,COOK,7084183000,184,7,Yes,25,37,17,10,7,8,10,3,,,,,,,117,6,15.33
A0501538,EAST LAKE ACADEMY,2,13,13911 W LAUREL DR,LAKE FOREST,IL,60045,LAKE,8472470035,174,7,No,27,11,8,11,4,11,13,6,9,12,,,,,112,16.6,5.12
BB170158,EAST ORCHARD CHRISTIAN ACADEMY,2,12,PO BOX T,OLNEY,IL,62450,RICHLAND,6183930300,180,7,Yes,8,5,5,2,4,6,4,2,1,,,,,,37,4,7.25
BB180979,EASTER SEALS THERAPEUTIC SCHOOL,8,17,1939 W 13TH ST STE 300,CHICAGO,IL,60608,COOK,3124321751,217,5.5,No,,,,,3,8,5,3,6,3,11,9,12,6,102,14,7.28
A1790234,EASTERSEALS ACADEMY,6,17,8301 MITCHELL RD,MACHESNEY PARK,IL,61115,WINNEBAGO,8156234800,219,5.5,No,,,1,2,4,5,3,6,10,9,7,7,4,5,87,10,8.7
BB020952,EDWARD AND JANE PECKWAS PREPARATORY ACADEMY,2,13,5714 S HARLEM AVE,SUMMIT,IL,60501,COOK,7085946857,176,7,No,10,2,5,6,5,5,9,4,6,5,,,,,57,5,9.4
02025522,EL VISTA BAPTIST ACADEMY,2,12,6301 N SYLER ST,PEORIA,IL,61615,PEORIA,3096928675,176,5.5,Yes,4,2,3,4,1,3,3,4,2,,,,,,26,2.9,7.58
A9901784,ELITE CHILDREN'S ACADEMY,2,3,23253 W RENWICK RD,PLAINFIELD,IL,60544,WILL,8152544911,180,5.5,No,25,6,,,,,,,,,,,,,31,4.4,1.36
A1701494,ELITE SCHOLARS STEAM ACADEMY,2,12,"4510 N ILLINOIS, STE #5",SWANSEA,IL,62226,ST. CLAIR,6187262022,180,8.5,Yes,4,6,3,5,2,2,3,1,2,,,,,,28,3,8
A1100989,ELMHURST ACADDEMY OF EARLY LEARNING,2,3,212 W LAKE ST,ELMHURST,IL,60126,DUPAGE,6302792494,160,7,No,58,25,,,,,,,,,,,,,83,3,8.33
BB980813,EMBERS ACADEMY,2,10,8340 N GREENWOOD AVE,NILES,IL,60714,COOK,8475181185,181,6.75,No,27,19,23,25,19,19,20,,,,,,,,152,9.1,13.73
00347224,EPIPHANY CATHOLIC SCHOOL,2,13,1002 E COLLEGE AVE,NORMAL,IL,61761,MCLEAN,3094523268,175,7,Yes,75,52,30,29,34,27,31,33,31,26,,,,,368,19.5,15.02
02024959,EVANGELICAL SCHOOL,2,13,1212 W HOMER M ADAMS PKWY,GODFREY,IL,62035,MADISON,6184661599,176,6.75,Yes,102,33,38,45,41,33,31,34,20,30,,,,,407,26,11.73
BB180943,EVANSTON DAY SCHOOL,14,17,3633 W LAKE AVE,GLENVIEW,IL,60026,COOK,8474868705,237,6,No,,,,,,,,,,,5,1,7,4,17,4,4.25
BB980724,EVEREST ACADEMY,2,13,11550 BELL RD,LEMONT,IL,60439,COOK,6302431995,175,7,No,41,27,33,30,30,26,25,20,11,19,,,,,262,17.3,12.77
A0103073,EWING MENNONITE SCHOOL,6,15,15606 LOG CABIN RD,EWING,IL,62836,FRANKLIN,6186292436,170,6.25,Yes,,,6,9,9,7,6,6,5,3,3,3,,,57,5,11.4
BB941229,EZZARD CHARLES SCHOOL,2,5,7946 S ASHLAND AVE,CHICAGO,IL,60620,COOK,7738461732,249,6.5,Yes,30,24,,,,,,,,,,,,,54,1,24
A9102393,FAIRFIELD AMISH MENNONITE SCHOOL,3,13,29467 425 E ST,TAMPICO,IL,61283,BUREAU,8154382508,155,6.5,No,,14,10,12,9,10,9,7,9,9,,,,,89,6,14.83
02025737,FAITH BAPTIST CHRISTIAN SCHOOL,2,17,1501 HOWARD CT,PEKIN,IL,61554,TAZEWELL,3093476178,179,7,Yes,14,6,11,4,5,5,2,7,4,5,9,5,1,4,82,7.4,9.18
02023591,FAITH BIBLE CHRISTIAN ACADEMY,2,17,PO BOX 11,ROSAMOND,IL,62557,CHRISTIAN,2175625054,176,6,Yes,1,3,5,,4,2,4,1,1,3,4,5,8,2,43,6.1,6.88
A9901761,FAITH CHRISTIAN SCHOOL,2,3,980 IRON HORSE PL,MONTICELLO,IL,61856,PIATT,2177627240,170,6.91,Yes,67,12,,,,,,,,,,,,,79,5.9,2.03
A1701503,FAITH CHRISTIAN SCHOOL,2,17,7571 S RIDGE RD,DIXON,IL,61021,OGLE,8156524806,178,7.08,Yes,16,15,11,18,14,10,10,12,2,8,5,11,10,5,147,16.1,8.13
A1701504,FAITH CHRISTIAN SCHOOL,7,17,PO BOX 342,CHESTER,IL,62233,RANDOLPH,6183186861,178,6.5,Yes,,,,2,1,1,1,,,1,3,1,1,2,13,2,6.5
00349651,FAITH EVANGELICAL LUTHERAN SCHOOL,2,13,1275 MAIN ST,ANTIOCH,IL,60002,LAKE,8473951660,177,7,Yes,30,7,8,8,6,10,22,8,5,6,,,,,110,5.6,14.28
A0700838,FAITH LUTHERAN HIGH SCHOOL,14,17,174 S MCHENRY AVE,CRYSTAL LAKE,IL,60014,MCHENRY,8154799305,176,7.11,No,,,,,,,,,,,16,16,27,26,85,6.1,13.93
A0901432,FAMILIES OF FAITH CHRISTIAN ACADEMY,2,17,PO BOX 277,CHANNAHON,IL,60410,WILL,8155211381,180,6.75,Yes,22,12,4,3,6,4,8,8,11,7,4,8,8,9,114,9.4,9.78
BB100746,FANTASY ISLAND SCHOOL FOR KIDS,2,3,6100 N MILWAUKEE AVE,CHICAGO,IL,60646,COOK,7737753125,255,,Yes,48,10,,,,,,,,,,,,,58,1,10
BB180970,FARM AND NATURE DISCOVERY SCHOOL,2,6,12700 SW HWY,PALOS PARK,IL,60464,COOK,7083618933,230,6,No,140,14,8,,,,,,,,,,,,162,6.1,3.6
00351751,FASMAN YESHIVA HIGH SCHOOL,14,17,7135 N CARPENTER RD,SKOKIE,IL,60077,COOK,8479822500,187,10.98,Yes,,,,,,,,,,,32,33,30,30,125,13.5,9.25
00341958,FENWICK HIGH SCHOOL,14,17,505 W WASHINGTON BLVD,OAK PARK,IL,60302,COOK,7083860127,180,7.16,Yes,,,,,,,,,,,311,290,282,313,1196,80,14.95
BB180960,FIDLEY DE FIDLEY DO ACADEMY,2,4,15019 ASHLAND AVE,HARVEY,IL,60426,COOK,7083332002,180,5.5,Yes,3,3,,,,,,,,,,,,,6,1,3
A0501544,FIRST BAPTIST ACADEMY,3,17,1111 E HWY 50,O FALLON,IL,62269,ST. CLAIR,6187266040,180,6.75,Yes,,32,33,20,15,33,16,21,14,27,15,21,21,8,276,21.1,13.08
00352813,FIRST BAPTIST CHRISTIAN SCHOOL,2,17,1211 N VERMILION ST,DANVILLE,IL,61832,VERMILION,2174422434,174,6.75,Yes,20,12,6,11,11,7,14,10,13,11,7,12,8,12,154,14.3,9.37
A9901762,FIRST SCHOOL,2,3,1403 E OAK ST,MAHOMET,IL,61853,CHAMPAIGN,2178930313,,8,Yes,150,15,,,,,,,,,,,,,165,29.4,0.51
A9102403,FLOSSMOOR MONTESSORI SCHOOL,2,3,740 WESTERN AVE,FLOSSMOOR,IL,60422,COOK,7087984600,178,7,Yes,47,4,,,,,,,,,,,,,51,1,4
A1701510,FOUNDATIONS 4 ADVANCEMENT,2,6,32 E 34TH ST,STEGER,IL,60475,WILL,7082485926,180,7,No,10,5,5,,,,,,,,,,,,20,2,5
A0103076,FOUR WINDS WALDORF SCHOOL,2,13,30W160 CALUMET AVE W,WARRENVILLE,IL,60555,DUPAGE,6308369400,177,6.75,No,18,6,7,7,11,8,10,2,5,6,,,,,80,10.9,5.68
A1501570,FRANCES XAVIER WARDE SCHOOL,2,13,120 S DESPLAINES ST,CHICAGO,IL,60661,COOK,3122682571,180,7.5,Yes,179,95,94,87,88,92,90,89,85,76,,,,,975,93,8.55
BB060757,FRANCES XAVIER WARDE SCHOOL,2,13,751 N STATE ST,CHICAGO,IL,60654,COOK,3124660700,161,7.25,Yes,179,97,94,87,87,92,90,89,85,76,,,,,976,105,7.59
00341776,FRASSATI CATHOLIC ACADEMY,2,10,22277 W ERHART RD,MUNDELEIN,IL,60060,LAKE,8472234021,,6.05,,29,16,16,13,18,13,17,,,,,,,,122,10,9.3
A1701514,FREEDOM OUTREACH SCHOOL,6,16,PO BOX 284,VIENNA,IL,62995,JOHNSON,6186582772,,6.5,No,,,2,,3,1,1,1,,2,,,1,,11,3,3.66
A1301271,FRENCH SCHOOL,2,3,562 GREEN BAY RD,WINNETKA,IL,60093,COOK,8475015800,,7,No,18,19,,,,,,,,,,,,,37,2,9.5
A1100994,FURQAAN ACADEMY,2,17,519 E BRIARCLIFF RD,BOLINGBROOK,IL,60440,WILL,6309145015,180,8.75,Yes,12,12,17,16,10,7,6,6,1,8,4,2,,1,102,15.4,5.84
BB181055,FUSION ACADEMY LAKE FOREST,12,17,840 S WAUKEGANRD STE 224,LAKE FOREST,IL,60045,LAKE,8472954039,,,No,,,,,,,,,1,1,10,8,12,14,46,19,2.42
A1790238,FUSION ACADEMY LF: CHICAGO- LAKE FOREST,12,17,840 S WAUKEGAN RD STE 224,LAKE FOREST,IL,60045,LAKE,8472954039,,,No,,,,,,,,,1,1,14,14,15,15,60,39.4,1.52
A1790239,FUSION ACADEMY LP: CHICAGO- LINCOLN PARK,11,17,1440 N DAYTON ST STE 104,CHICAGO,IL,60642,COOK,9999999999,,8,No,,,,,,,,,,,,,,,40,14,
A1790240,FUSION ACADEMY OB: CHICAGO- OAK BROOK,11,17,3041 BUTTERFIELD RD STE 200,OAK BROOK,IL,60523,DUPAGE,6303680824,,8,Yes,,,,,,,,1,2,2,1,8,11,6,31,18.8,1.64
A1701518,FUTUREWORLD NFP,6,17,1744 E 55TH ST,CHICAGO,IL,60615,COOK,3127194907,180,6,Yes,,,5,5,7,4,10,7,2,,,,,1,41,9.9,4.14
A9701389,GALESBURG CHRISTIAN SCHOOL ASSOC,2,17,1881 E FREMONT ST,GALESBURG,IL,61401,KNOX,3093438008,160,6,No,37,18,4,14,6,12,8,7,14,6,9,9,9,3,156,13.5,8.81
